website,city,addr,metro,area,country,lon,name,phone,lat,email,desc
Отсутствует,Запорожье,"г. Запорожье, ул. 40 Лет Советской Украины, 49",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Витадент-Сич""",(061) 213-6440,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Ивано-Франковск,"г. Ивано-Франковск, ул. Гетьмана Мазепы, д. 27-а",Отсутствует,Отсутствует,Украина,50.46,Авицена-Фарм,(0342) 58 22 44,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Ляшенко 9",Отсутствует,Кировский,Украина,50.46,"Аптека ""Гармония""",(062) 334-78-34,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, пр-т Юности, 20/73",Отсутствует,Вишенка,Украина,50.46,"Аптека ""Горицвет""","(0432) 467803, (0432) 439141",30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Черновцы,"г. Черновцы, ул. Б.Хмельницкого, д. 15-а",Отсутствует,Калининский,Украина,50.46,Авиценна,(03722) 25-927,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Киевская, д. 2",Отсутствует,Кумбари,Украина,50.46,"Аптека ""Гармония""",(0432) 671-473,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Артема 159",Отсутствует,Киевский,Украина,50.46,"Аптека ""Ольга""",(062) 381-86-58,30.50,Отсутствует,
Отсутствует,Полтава,"г. Полтава, ул. Калинина 28",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Провизор""",(05322) 15-238,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Красноармейская 56",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Ольвия""",(0622)90-11-88,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Фрунзе, 52",Отсутствует,Замостя,Украина,50.46,"Аптека ""Олвоял""",(0432)27-76-24,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Келецкая, д. 84",Отсутствует,Вишенка,Украина,50.46,"Аптека ""Наша аптека №4""",(0432) 439-239,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Ильича 26",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Таблетка""",(061) 764-7401,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Чумаченко 49",Отсутствует,Комунарский,Украина,50.46,"Аптека ""Олекс""",(061) 213-3281,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, ул. 600-летия, д. 25",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Сперко Украина""",(0432) 523-049,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. 60-летия СССР 5а",Отсутствует,Куйбишевский,Украина,50.46,"Аптека ""Социальная""",(0622) 53-00-80,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Минская 3",Отсутствует,Буденовский,Украина,50.46,"Аптека ""Синтез-сервис""",(062) 340-53-16,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Юности 59-а",Отсутствует,Шевченковский,Украина,50.46,"Аптека ""Семейная аптека""",(061) 293-3026,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ТРЦ",Отсутствует,Киевский,Украина,50.46,"Аптека ""Сарепта""",(062) 206-60-80,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Куйбышева 47",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Санмед""",(062) 313-10-36,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, просп. Ленина 6",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Рута""",(061) 286-1448,30.50,Отсутствует,
Отсутствует,Полтава,"г. Полтава, ул. Калинина 3",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Рендес-Р""",(05322) 56-092,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Кремлевская 23",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Наш Дом""",(061) 212-5797,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. Героев Сталинграда 12",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Натали-фарм""",(0612) 134-955,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Героев Сталинграда 50",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Натали-Фарм""",(061) 213-4955,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, бул. Пушкина, 18",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""На бульваре""",(062) 305-46-43,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Космонавтов, д. 24",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Медтехника""",(0432) 513-617,30.50,Отсутствует,
Отсутствует,Полтава,"г. Полтава, ул. Фрунзе 145",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Медипол""",(05322) 17-093,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, ул. Стуса, 16, оф.",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Медикор-2""","(0432)32-52-20, (0432)35-72-67",30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, просп. Металургов 14",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Мед Сервис""",(061) 212-0189,30.50,Отсутствует,
Отсутствует,Черкассы,"г. Черкассы, ул. Ильина, 285",Отсутствует,Сосновский,Украина,50.46,"Аптека ""Матери и ребенка""","(0472) 45-28-16, 33-01-23",30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Ивана Бевзы, 4",Отсутствует,Замостя,Украина,50.46,"Аптека ""Еврофарм""",(0432)27-33-06,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Украинская 57",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Евроаптека""",(061) 213-6440,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, ул. Келецкая, д. 394",Отсутствует,Вишенка,Украина,50.46,"Аптека ""Евроаптека №2""",(0432) 465-109,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Киевская, д. 62",Отсутствует,Вишенка,Украина,50.46,"Аптека ""Евроаптека №1""",(0432) 665-732,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, просп. Ленинский 69б",Отсутствует,Кировский,Украина,50.46,"Аптека ""Донэлитфарм""",(0622) 63-92-77,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Артема, 75",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Донбасс фармация трейдинг""",(062) 304-6561,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Артема, 17",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Донбасс Фармация Трейдинг""",(0622) 905-790,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. 600-летия, д. 50",Отсутствует,Вишенка,Украина,50.46,"Аптека ""Доктор Гаше""",(0432) 523-062,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Добровольского, 148",Отсутствует,Петровский,Украина,50.46,"Аптека ""Доброго дня""",(800) 500-1290,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Добровольского, 4",Отсутствует,Петровский,Украина,50.46,"Аптека ""Доброго дня""",(800) 500-1290,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Островского, 32",Отсутствует,Кировский,Украина,50.46,"Аптека ""матери и ребенка""",(062) 334-65-99,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, просп. Ленина 75",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Маджес Фарма""",(061) 213-7875,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Щетинина, 22",Отсутствует,Пролетарский,Украина,50.46,"Аптека ""Магнолия-фарм""",(062) 385-16-82,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. 40 Лет Советской Украины 64",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Плюс""",(061) 225-6669,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, просп. Ленина 170",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Глюкоза""",(0612) 341-446,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Кольцова 7",Отсутствует,Кировский,Украина,50.46,"Аптека ""Лика""",(062) 386-04-10,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Кобозева, 62",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Лекарственные травы""",(0622)90-38-24,30.50,Отсутствует,
Отсутствует,Полтава,"г. Полтава, ул. Энгельса 27-а",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Лекарства Полтавщины""",(05322) 22-534,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Полтава,"г. Полтава, ул. Калинина 21",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Лекарства Полтавщины""",(05322) 24-901,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Полтава,"г. Полтава, ул. Чапаева 1",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Ліки Полтавщини""",(05322) 24-901,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Грязнова 88",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Лонос""",(061) 269-3746,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, шс. Хмельницкое, д. 23",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Конекс""",(0432) 531-569,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Чумаченко 49/10",Отсутствует,Комунарский,Украина,50.46,"Аптека ""Коммунар""",(061)2212-390,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Нижнеднепровская 6-а",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Исток-Плюс""",(061) 220-9852,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, бульвар Шевченко 25",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Интрейд""",(061) 232-5743,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Ладожская 19",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Магнолия""",(061) 252-3177,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Артема, 110",Отсутствует,Киевский,Украина,50.46,"Аптека ""Зеленая планета""",(062)345-03-39,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, просп. Ильича 82",Отсутствует,Калининский,Украина,50.46,"Аптека ""Здравица нейро""",(0622) 94-10-04,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Гагарина 10",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Запорожфарминвест-С""",(061) 213-3367,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Патриотическая 70",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Живая вода""",(0612) 349-332,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. Волшебная 50",Отсутствует,Шевченковский,Украина,50.46,"Аптека ""Гавикорд""",(061) 213-6440,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Артема, 45",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Вэл""",(062) 342-0345,30.50,Отсутствует,
Отсутствует,Черкассы,"г. Черкассы, ул. Рябоконя, 29",Отсутствует,Приднепровский,Украина,50.46,"Аптека ""Волошка сервис""","(0472) 73-26-34, 56-65-96",30.50,Отсутствует,Предоставляемые услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Ионова 18",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Витаминка""",(0622) 66-72-67,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. Красная 3",Отсутствует,Шевченковский,Украина,50.46,"Аптека ""Вита Фарм""",(061) 265-6348,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. Кирова 75",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Виола""",(061) 764-2795,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, ул. Соборная, 43",Отсутствует,Кумбари,Украина,50.46,"Аптека ""Винница-фарм""",(0432)32-10-61,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Кобылянского, 38",Отсутствует,Старогородской,Украина,50.46,"Аптека ""Виктория""","(0432)27-13-10, (0432)27-00-15",30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, просп. Ленина 110",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Знахарь""",(0612) 170-700,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Правды 47",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""Виктория""",(061) 213-3160,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, пр. Ленинский, 22",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Викинг""",(0622) 619-950,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, пл. Победы, 10",Отсутствует,Петровский,Украина,50.46,"Аптека ""Ваше здоровье""",(0622) 76-94-29,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Пухова, 1",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Валентина""",(0622) 697-878,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. Малиновского 21",Отсутствует,Комунарский,Украина,50.46,"Аптека ""Валенсия""",(061) 295-0721,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, ул. Коцюбинского, д. 37",Отсутствует,Старогородской,Украина,50.46,"Аптека ""Валенсия №2""",(0432) 277-525,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Гоголя, д. 2",Отсутствует,Кумбари,Украина,50.46,"Аптека ""Валенсия Фарм""",(0432) 671-226,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Полтава,"г. Полтава, ул. Монастырская 2",Отсутствует,Отсутствует,Украина,50.46,"Аптека ""Вакула""",(05322) 17-093,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Энгельса, 33",Отсутствует,Старогородской,Украина,50.46,"Аптека ""Биос-Медиа""","(0432)27-06-55, (0432)27-16-38",30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Винница,"г. Винница, ул. Соборная, 84",Отсутствует,Кумбари,Украина,50.46,"Аптека ""Биос-В""",(0432)32-36-15,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, бул. Шевченко, 67",Отсутствует,Калининский,Украина,50.46,"Аптека ""Берегиня""",(0622) 95-47-16,30.50,Отсутствует,
Отсутствует,Винница,"г. Винница, ул. Черняховского, д. 78",Отсутствует,Старогородской,Украина,50.46,"Аптека ""Белса""",(0432) 571-260,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, просп. Ленина 212",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Беладонна""",(061) 224-0257,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, ул. Нижнеднепровская 14-а",Отсутствует,Орджоникидзевский,Украина,50.46,"Аптека ""АЭК""",(061) 224-0373,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Волшебная 121",Отсутствует,Шевченковский,Украина,50.46,"Аптека ""АРЦТ""",(061) 265-1689,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Артема, 119",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Арника""",(062) 381-0144,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, бул. Шевченко, 66",Отсутствует,Калининский,Украина,50.46,"Аптека ""Арника""",(0622) 951-124,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Артема, 146",Отсутствует,Киевский,Украина,50.46,"Аптека ""Арника""",(062) 381-8993,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Челюскинцев, 233-а",Отсутствует,Киевский,Украина,50.46,"Аптека ""Арника""",(0622) 574-849,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, пр. Титова Германа, 8-б",Отсутствует,Киевский,Украина,50.46,"Аптека ""Арника""",(062) 345-0207,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Октябрьская, 26",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Арника""",(0622) 212-730,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Овнатанян, 16",Отсутствует,Калининский,Украина,50.46,"Аптека ""Арника""",(0622) 978-501,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Чернигов,"г. Чернигов, ул. Кирпоноса, 20",Отсутствует,Деснянский,Украина,50.46,Аптека,,30.50,Отсутствует,
Отсутствует,Запорожье,"г. Запорожье, просп. Ленина 59",Отсутствует,Жовтневый,Украина,50.46,"Аптека ""Виктория""",(0612) 641-725,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Артема, 227",Отсутствует,Киевский,Украина,50.46,"Аптека ""Адар""",(062) 381-9221,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, ул. Щорса, 35",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Адар""",(062) 381-1433,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Университетская, 26",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""Адар""",(062) 381-0087,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, просп. Ленинский, 696",Отсутствует,Ленинский,Украина,50.46,"Аптека ""36,6""",(0622) 636-798,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, пл. Привокзальная, 1-а",Отсутствует,Буденовский,Украина,50.46,"Аптека ""36,6""",(062) 305-6280,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Донецк,"г. Донецк, пл. Коммунаров, 6",Отсутствует,Ворошиловский,Украина,50.46,"Аптека ""120 на 80""",(062) 385-33-36,30.50,Отсутствует,
Отсутствует,Ивано-Франковск,"г. Ивано-Франковск, ул. Вовчинецкая, д. 188",Отсутствует,Отсутствует,Украина,50.46,Аптека Фарма,(03422) 6 17 84,30.50,Отсутствует,
Отсутствует,Кировоград,"г. Кировоград, пр-кт. Правды, 1а",Отсутствует,Отсутствует,Украина,50.46,Аптека ПП Гедион Рихтер,(0522) 23 64 25,30.50,Отсутствует,
Отсутствует,Кировоград,"г. Кировоград, ул. Калинина, 10/14",Отсутствует,Отсутствует,Украина,50.46,Аптека Апек,(0522) 22 66 12,30.50,Отсутствует,
Отсутствует,Донецк,"г. Донецк, ул. Коммунистическая, 20",Отсутствует,Пролетарский,Украина,50.46,"Аптека ""Арника О""",(0622) 220-234,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
Отсутствует,Запорожье,"г. Запорожье, ул. Рельефная 18",Отсутствует,Ленинский,Украина,50.46,"Аптека ""Поиск-93""",(061) 257-3938,30.50,Отсутствует,Медицинские услуги: медицинские препараты предметы личной гигиены лечебная косметика лекарства лекарственные средства таблетки антибиотики витамины
